Deep River|46.3521|-123.6984|US|Washington|151
Bothell|47.7736|-122.2044|US|Washington|45533
South Wenatchee|47.3886|-120.2829|US|Washington|2057
Snoqualmie Pass|47.4014|-121.4109|US|Washington|235
Hartline|47.6895|-119.1081|US|Washington|154
Lake Forest Park|47.7597|-122.2878|US|Washington|13392
Crocker|47.0843|-122.1225|US|Washington|1332
Elbe|46.7653|-122.1946|US|Washington|53
Ravensdale|47.3563|-121.9692|US|Washington|1579
Arlington|48.1697|-122.1446|US|Washington|19212
McChord AFB|47.1328|-122.4924|US|Washington|3337
Lebam|46.5641|-123.5509|US|Washington|101
Lynden|48.9503|-122.4544|US|Washington|17340
Coupeville|48.2172|-122.6775|US|Washington|1928
Prescott|46.2988|-118.3126|US|Washington|304
South Bend|46.668|-123.8008|US|Washington|1651
Mabton|46.2115|-119.9938|US|Washington|2532
North Bend|47.4898|-121.7738|US|Washington|6821
Grapeview|47.3316|-122.8413|US|Washington|982
Garfield|47.0103|-117.1395|US|Washington|614
Rochester|46.8288|-123.0722|US|Washington|2923
Dayton|46.3168|-117.9769|US|Washington|2637
Algona|47.2822|-122.2504|US|Washington|3185
Mineral|46.7193|-122.1859|US|Washington|193
Barstow|48.7783|-118.1329|US|Washington|119
Moclips|47.2348|-124.2025|US|Washington|0
Bellingham|48.7543|-122.4687|US|Washington|126015
Vader|46.4045|-122.9569|US|Washington|643
North Lynnwood|47.8533|-122.2762|US|Washington|20626
Tracyton|47.6095|-122.6533|US|Washington|5937
White Salmon|45.7282|-121.4853|US|Washington|2552
Peaceful Valley|48.9477|-122.1406|US|Washington|4196
East Renton Highlands|47.4718|-122.0854|US|Washington|11401
Metaline|48.854|-117.3899|US|Washington|178
Deming|48.8381|-122.2313|US|Washington|240
Medical Lake|47.5712|-117.6893|US|Washington|4818
Aberdeen|46.9757|-123.8095|US|Washington|29089
Chehalis|46.6637|-122.9647|US|Washington|7533
Onalaska|46.5783|-122.7112|US|Washington|709
Toledo|46.4414|-122.8496|US|Washington|751
Everson|48.9123|-122.351|US|Washington|4709
Belfair|47.4495|-122.8487|US|Washington|4063
Lynnwood|47.8285|-122.3035|US|Washington|38273
Colton|46.5675|-117.1285|US|Washington|467
Malden|47.2296|-117.4731|US|Washington|209
Ames Lake|47.6346|-121.9664|US|Washington|1526
Wilson Creek|47.423|-119.1176|US|Washington|212
North Yelm|46.9647|-122.6029|US|Washington|2887
Mirrormont|47.4616|-121.9936|US|Washington|3682
Whidbey Island Station|48.3387|-122.6616|US|Washington|1938
Town and Country|47.7259|-117.4221|US|Washington|5001
Tokeland|46.709|-123.9839|US|Washington|330
Snoqualmie|47.5293|-121.8412|US|Washington|26054
Bremerton|47.5436|-122.7121|US|Washington|216480
East Cathlamet|46.1968|-123.358|US|Washington|503
Fort Lewis|47.0955|-122.5672|US|Washington|13920
Salmon Creek|45.7099|-122.6632|US|Washington|21068
Skykomish|47.7103|-121.3586|US|Washington|216
Tacoma|47.2431|-122.4531|US|Washington|213418
Monroe|47.8596|-121.9853|US|Washington|18789
Loomis|48.8235|-119.6398|US|Washington|117
Pomeroy|46.4737|-117.5967|US|Washington|1388
Brush Prairie|45.725|-122.5483|US|Washington|2783
Silver Firs|47.8635|-122.1497|US|Washington|22937
Nespelem|48.167|-118.9722|US|Washington|313
Meadowdale|47.8583|-122.3156|US|Washington|3049
Shadow Lake|47.4017|-122.0764|US|Washington|2655
LaCrosse|46.8021|-117.9013|US|Washington|324
Concrete|48.5371|-121.7512|US|Washington|729
Sumas|48.9956|-122.2695|US|Washington|1464
Ruston|47.2982|-122.51|US|Washington|828
La Center|45.8589|-122.6764|US|Washington|3171
Marrowstone|48.0568|-122.6933|US|Washington|1084
Chelan Falls|47.7995|-119.9882|US|Washington|86
Lake Cavanaugh|48.3225|-122.0122|US|Washington|179
Duluth|45.7838|-122.647|US|Washington|1379
Sequim|48.0747|-123.0944|US|Washington|20750
Benton City|46.2624|-119.4814|US|Washington|4591
Moses Lake|47.1284|-119.2741|US|Washington|37774
Fircrest|47.2308|-122.5157|US|Washington|6794
Othello|46.8222|-119.1651|US|Washington|12375
Mercer Island|47.5625|-122.2265|US|Washington|25261
Enumclaw|47.2017|-121.9897|US|Washington|11784
Chico|47.6234|-122.7198|US|Washington|2635
Enetai|47.5885|-122.6058|US|Washington|2231
Hunts Point|47.642|-122.229|US|Washington|434
Clinton|47.9731|-122.3577|US|Washington|811
Hat Island|48.013|-122.3201|US|Washington|48
Marietta-Alderwood|48.7932|-122.5566|US|Washington|4495
Waitsburg|46.2696|-118.151|US|Washington|1195
Sunnyslope|47.4913|-120.3493|US|Washington|3641
South Cle Elum|47.1862|-120.9525|US|Washington|560
Selah|46.6482|-120.5389|US|Washington|7859
Lind|46.9704|-118.6165|US|Washington|556
Five Corners|45.6883|-122.5738|US|Washington|18405
Winthrop|48.4716|-120.179|US|Washington|439
Normandy Park|47.4344|-122.3436|US|Washington|6649
Home|47.279|-122.7744|US|Washington|1375
Graham|47.0407|-122.2757|US|Washington|26939
Yacolt|45.865|-122.4059|US|Washington|1735
Packwood|46.6085|-121.6702|US|Washington|230
Queets|47.5314|-124.3385|US|Washington|199
Finley|46.1697|-119.0446|US|Washington|6015
Northport|48.9159|-117.7796|US|Washington|296
Medina|47.6256|-122.2338|US|Washington|3267
Browns Point|47.3036|-122.4369|US|Washington|1122
Summit|47.1694|-122.3628|US|Washington|7876
Albion|46.7916|-117.2511|US|Washington|608
Sudden Valley|48.7199|-122.3468|US|Washington|7621
Bunk Foss|47.9618|-122.0943|US|Washington|3604
Gleed|46.6594|-120.6025|US|Washington|2474
Maryhill|45.6928|-120.807|US|Washington|73
Oyehut|47.0233|-124.1632|US|Washington|0
Alder|46.7872|-122.2667|US|Washington|133
Ridgefield|45.8116|-122.7052|US|Washington|7117
Bryant|48.24|-122.1638|US|Washington|1990
Nisqually Indian Community|47.0178|-122.6728|US|Washington|690
Porter|46.9489|-123.2736|US|Washington|222
Kettle Falls|48.6055|-118.062|US|Washington|1611
Chelan|47.8417|-120.027|US|Washington|6078
Edison|48.5602|-122.431|US|Washington|156
Neilton|47.4031|-123.8782|US|Washington|373
Fox Island|47.2475|-122.6255|US|Washington|3848
Renton|47.4758|-122.1905|US|Washington|101379
Baring|47.7661|-121.4803|US|Washington|173
Hobart|47.412|-121.996|US|Washington|6736
Wallula|46.0847|-118.9056|US|Washington|329
Touchet|46.0412|-118.6724|US|Washington|437
Leavenworth|47.5948|-120.6633|US|Washington|3332
Fobes Hill|47.9391|-122.1341|US|Washington|2779
Harrington|47.4802|-118.2552|US|Washington|411
Port Orchard|47.5164|-122.661|US|Washington|13997
Alderwood Manor|47.8147|-122.2676|US|Washington|8817
Kennewick|46.1979|-119.1732|US|Washington|232915
Ahtanum|46.5583|-120.6109|US|Washington|3076
Wilderness Rim|47.4463|-121.7691|US|Washington|1443
Machias|47.9917|-122.0515|US|Washington|886
Bingen|45.7139|-121.4704|US|Washington|729
Four Lakes|47.5582|-117.5891|US|Washington|403
Springdale|48.0572|-117.7466|US|Washington|293
Washtucna|46.7538|-118.3106|US|Washington|204
Covington|47.3668|-122.1044|US|Washington|20916
Allyn|47.3863|-122.8386|US|Washington|2650
North Sultan|47.8827|-121.8251|US|Washington|241
Union Gap|46.5567|-120.4977|US|Washington|6161
Shelton|47.2188|-123.1127|US|Washington|19296
Chinook|46.2755|-123.9425|US|Washington|300
Blaine|48.9839|-122.7414|US|Washington|5311
Port Hadlock-Irondale|48.0316|-122.789|US|Washington|3765
Burley|47.4166|-122.6377|US|Washington|1941
Mount Vernon|48.4202|-122.3116|US|Washington|69528
Electric City|47.922|-119.0475|US|Washington|1001
Ronald|47.2338|-121.0335|US|Washington|284
Nespelem Community|48.1715|-119.0244|US|Washington|259
Amanda Park|47.4532|-123.9194|US|Washington|119
Clarkston Heights-Vineland|46.3876|-117.0831|US|Washington|6453
Boulevard Park|47.5135|-122.3159|US|Washington|3916
Big Lake|48.3933|-122.2422|US|Washington|1784
Boyds|48.7245|-118.1321|US|Washington|76
Parkwood|47.5266|-122.5986|US|Washington|6559
Deer Park|47.9642|-117.4397|US|Washington|3868
Humptulips|47.2491|-123.9348|US|Washington|277
SeaTac|47.4445|-122.2986|US|Washington|29140
Maple Valley|47.3659|-122.0368|US|Washington|25758
Millwood|47.6856|-117.2806|US|Washington|1784
Point Roberts|48.9883|-123.0576|US|Washington|1251
Dixie|46.1392|-118.148|US|Washington|256
East Port Orchard|47.5193|-122.6183|US|Washington|5334
Morton|46.5575|-122.2815|US|Washington|1159
Alger|48.6176|-122.3369|US|Washington|235
Kahlotus|46.6437|-118.5556|US|Washington|199
Fife Heights|47.2593|-122.3457|US|Washington|2185
Cherry Grove|45.8021|-122.5764|US|Washington|689
Clearview|47.8292|-122.1452|US|Washington|3907
Greenwater|47.1465|-121.632|US|Washington|28
Picnic Point|47.8745|-122.3079|US|Washington|9002
Kendall|48.9168|-122.1383|US|Washington|37
Seabeck|47.6437|-122.8219|US|Washington|1141
Startup|47.8671|-121.7495|US|Washington|683
Steilacoom|47.1699|-122.5935|US|Washington|6337
Lamont|47.2007|-117.9049|US|Washington|74
Bay View|48.487|-122.4628|US|Washington|625
Valley|48.173|-117.7244|US|Washington|171
North Marysville|48.1111|-122.1459|US|Washington|172
Brady|47.0064|-123.5321|US|Washington|360
May Creek|47.8555|-121.6743|US|Washington|663
Clear Lake|48.4561|-122.2378|US|Washington|990
Keller|48.0852|-118.7164|US|Washington|228
